short.name,regions,gaps,coverage,overlap
TCTP2_TK,3,1,58.99%,40
TLP_TK,3,1,60.08%,40
UCE9_TK,3,1,62.55%,40
VPE_TK,19,7,82.77%,40
cluster_4H3M2EDPR_TK,11,4,73.82%,40
cluster_CPT_TK,4,1,57.98%,40
cluster_GGDPS_TK,6,2,81.14%,40
e4H3M2EDPS1_TK,16,7,80.63%,40
1DDX5PR1_TK,12,2,84.54%,45
1DDX5PS1_TK,18,8,83.28%,45
1DDX5PS2_TK,20,9,89.66%,45
1DDX5PS3_TK,14,6,72.99%,45
1_FEH_TK,14,6,78.17%,45
1_FFT_TK,17,8,81.49%,45
1_SST_TK,15,5,84.93%,45
2cMDE24CS1_TK,6,2,75.06%,45
2cMDE4PCT1_TK,11,1,85.13%,45
3H3MC1_TK,8,3,78.69%,45
3H3MCR1_TK,8,1,83.29%,45
3H3MCR2_TK,8,1,78.69%,45
3H3MCR3_TK,8,2,89.6%,45
3H3MCR4_TK,6,2,62.05%,45
3H3MCR5_TK,6,1,79.07%,45
3H3MCS1_TK,9,2,78.73%,45
4C5DP2CMDEK1_TK,13,4,86.11%,45
4H3M2EDPR1_TK,11,4,73.82%,45
4H3M2EDPR2_TK,4,1,57.8%,45
4H3M2EDPR3_TK,11,4,72.94%,45
A20AN1_TK,2,0,42.31%,45
ACC1_TK,8,3,63.16%,45
ACC2_TK,11,5,80.07%,45
ACC3_TK,19,6,88.41%,45
ACT1_TK,6,2,70.55%,45
ADPATC2_TK,6,1,66.93%,45
ALS_TK,58,22,88.83%,45
ARFA1F2_TK,5,2,71.01%,45
C72_TK,2,0,49.05%,45
CASP1_TK,5,0,72.68%,45
CCT1_TK,4,1,68.13%,45
CDPK13_TK,10,1,83.5%,45
CO_TK,7,3,79.31%,45
CPIP_TK,6,2,63.22%,45
CPT1_1_TK,4,1,57.98%,45
CPT2_TK,4,1,65.71%,45
CPT3_TK,4,1,54.28%,45
CYP716A263_TK,10,4,79.4%,45
CYP716D60_TK,13,4,84.99%,45
DHDDS_TK,4,1,69.65%,45
DOG_1_TK,6,2,81.91%,45
DREB_TK,5,2,76.74%,45
DnaJP2_TK,10,3,83.09%,45
EG_TK,15,3,85.86%,45
EH_TK,5,1,68.84%,45
ERF_TK,4,1,70.1%,45
ETR1_TK,14,6,73.52%,45
FDPS1_TK,12,3,86.08%,45
FDPS2_TK,11,4,81.9%,45
FTC_TK,37,11,88.76%,45
FT_TK,15,5,84.89%,45
GDPS1_TK,14,3,88.17%,45
GGDPS1_TK,6,2,81.14%,45
GGDPS2_TK,6,1,71.37%,45
HSCP70-1_TK,8,2,74.2%,45
IPDPI2_TK,8,1,78.77%,45
IPPK_TK,4,0,68.6%,45
MDPD_TK,9,2,78.77%,45
MK1_TK,12,4,83.37%,45
MLL_TK,3,1,66.92%,45
MLP28_TK,3,0,73.47%,45
OC1_TK,37,13,86.77%,45
OC2_TK,32,10,83.22%,45
OC3_TK,19,5,86.78%,45
OC4_TK,19,4,89.39%,45
OC5_TK,28,10,87.99%,45
OC6_TK,27,11,85.02%,45
PCK_TK,4,1,68.85%,45
PEC2_TK,8,3,77.19%,45
PIRL_TK,9,3,75.39%,45
PK1_TK,4,1,50.27%,45
PMEI_TK,10,4,75.97%,45
PMIP1B_TK,6,1,79.32%,45
PP2A-3_TK,15,6,81.39%,45
PPMK1_TK,10,0,84.4%,45
PPMK2_TK,12,2,84.12%,45
PPO_TK,8,2,75.5%,45
PTRP1_TK,4,1,59.62%,45
PUCP7_TK,7,0,85.4%,45
RBP45A_TK,13,3,81.65%,45
REF_TK,6,1,73.54%,45
SAS1_TK,4,1,56.39%,45
SOC1_TK,17,7,87.96%,45
SQE1_TK,14,3,81.17%,45
SQE2_TK,13,5,89.38%,45
SQE3_TK,13,4,87.83%,45
SQE4_TK,12,5,74.97%,45
SQS1_TK,16,3,88.1%,45
SQS2_TK,14,2,88.8%,45
SRPP3_TK,5,1,73.15%,45
SRPP4_TK,10,4,84.08%,45
SRPP5_TK,3,0,65.88%,45
SRPP6_TK,4,1,61.05%,45
SRRP1_TK,2,0,65.22%,45
SRRP2_TK,6,2,77.49%,45
STKWNK_TK,2,0,41.74%,45
SYP124_TK,4,0,62.41%,45
TCTP1_TK,2,0,43.38%,45
TCTP2_TK,3,1,58.99%,45
TLP_TK,3,1,60.08%,45
UCE9_TK,3,1,62.55%,45
VPE_TK,19,7,82.77%,45
cluster_4H3M2EDPR_TK,11,4,73.82%,45
cluster_CPT_TK,4,1,57.98%,45
cluster_GGDPS_TK,6,2,81.14%,45
e4H3M2EDPS1_TK,16,7,80.63%,45
1DDX5PR1_TK,12,2,84.54%,50
1DDX5PS1_TK,18,8,83.28%,50
1DDX5PS2_TK,20,9,89.66%,50
1DDX5PS3_TK,14,6,72.99%,50
1_FEH_TK,14,6,78.17%,50
1_FFT_TK,17,8,81.49%,50
1_SST_TK,15,5,84.93%,50
2cMDE24CS1_TK,6,2,75.06%,50
2cMDE4PCT1_TK,11,1,85.13%,50
3H3MC1_TK,8,3,78.69%,50
3H3MCR1_TK,8,1,83.29%,50
3H3MCR2_TK,8,1,78.69%,50
3H3MCR3_TK,8,2,89.6%,50
3H3MCR4_TK,6,2,62.05%,50
3H3MCR5_TK,6,1,79.07%,50
3H3MCS1_TK,9,2,78.73%,50
4C5DP2CMDEK1_TK,13,4,86.11%,50
4H3M2EDPR1_TK,11,4,73.82%,50
4H3M2EDPR2_TK,4,1,57.8%,50
4H3M2EDPR3_TK,11,4,72.94%,50
A20AN1_TK,2,0,42.31%,50
ACC1_TK,8,3,63.16%,50
ACC2_TK,11,5,80.07%,50
ACC3_TK,19,6,88.41%,50
ACT1_TK,6,2,70.55%,50
ADPATC2_TK,6,1,66.93%,50
ALS_TK,58,22,88.83%,50
ARFA1F2_TK,5,2,71.01%,50
C72_TK,2,0,49.05%,50
CASP1_TK,5,0,72.68%,50
CCT1_TK,4,1,68.13%,50
CDPK13_TK,10,1,83.5%,50
CO_TK,7,3,79.31%,50
CPIP_TK,6,2,63.22%,50
CPT1_1_TK,4,1,57.98%,50
CPT2_TK,4,1,65.71%,50
CPT3_TK,4,1,54.28%,50
CYP716A263_TK,10,4,79.4%,50
CYP716D60_TK,13,4,84.99%,50
DHDDS_TK,4,1,69.65%,50
DOG_1_TK,6,2,81.91%,50
DREB_TK,5,2,76.74%,50
DnaJP2_TK,10,3,83.09%,50
EG_TK,15,3,85.86%,50
EH_TK,5,1,68.84%,50
ERF_TK,4,1,70.1%,50
ETR1_TK,14,6,73.52%,50
FDPS1_TK,12,3,86.08%,50
FDPS2_TK,11,4,81.9%,50
FTC_TK,37,11,88.76%,50
FT_TK,15,5,84.89%,50
GDPS1_TK,14,3,88.17%,50
GGDPS1_TK,6,2,81.14%,50
GGDPS2_TK,6,1,71.37%,50
HSCP70-1_TK,8,2,74.2%,50
IPDPI2_TK,8,1,78.77%,50
IPPK_TK,4,0,68.6%,50
MDPD_TK,9,2,78.77%,50
MK1_TK,12,4,83.37%,50
MLL_TK,3,1,66.92%,50
MLP28_TK,3,0,73.47%,50
OC1_TK,37,13,86.77%,50
OC2_TK,32,10,83.22%,50
OC3_TK,19,5,86.78%,50
OC4_TK,19,4,89.39%,50
OC5_TK,28,10,87.99%,50
OC6_TK,27,11,85.02%,50
PCK_TK,4,1,68.85%,50
PEC2_TK,8,3,77.19%,50
PIRL_TK,9,3,75.39%,50
PK1_TK,4,1,50.27%,50
PMEI_TK,10,4,75.97%,50
PMIP1B_TK,6,1,79.32%,50
PP2A-3_TK,15,6,81.39%,50
PPMK1_TK,10,0,84.4%,50
PPMK2_TK,12,2,84.12%,50
PPO_TK,8,2,75.5%,50
PTRP1_TK,4,1,59.62%,50
PUCP7_TK,7,0,85.4%,50
RBP45A_TK,13,3,81.65%,50
REF_TK,6,1,73.54%,50
SAS1_TK,4,1,56.39%,50
SOC1_TK,17,7,87.96%,50
SQE1_TK,14,3,81.17%,50
SQE2_TK,13,5,89.38%,50
SQE3_TK,13,4,87.83%,50
SQE4_TK,12,5,74.97%,50
SQS1_TK,16,3,88.1%,50
SQS2_TK,14,2,88.8%,50
SRPP3_TK,5,1,73.15%,50
SRPP4_TK,10,4,84.08%,50
SRPP5_TK,3,0,65.88%,50
SRPP6_TK,4,1,61.05%,50
SRRP1_TK,2,0,65.22%,50
SRRP2_TK,6,2,77.49%,50
STKWNK_TK,2,0,41.74%,50
SYP124_TK,4,0,62.41%,50
TCTP1_TK,2,0,43.38%,50
TCTP2_TK,3,1,58.99%,50
TLP_TK,3,1,60.08%,50
UCE9_TK,3,1,62.55%,50
VPE_TK,19,7,82.77%,50
cluster_4H3M2EDPR_TK,11,4,73.82%,50
cluster_CPT_TK,4,1,57.98%,50
cluster_GGDPS_TK,6,2,81.14%,50
e4H3M2EDPS1_TK,16,7,80.63%,50
1DDX5PR1_TK,12,2,84.54%,55
1DDX5PS1_TK,18,8,83.28%,55
1DDX5PS2_TK,20,9,89.66%,55
1DDX5PS3_TK,14,6,72.99%,55
1_FEH_TK,14,6,78.17%,55
1_FFT_TK,17,8,81.49%,55
1_SST_TK,15,5,84.93%,55
2cMDE24CS1_TK,6,2,75.06%,55
2cMDE4PCT1_TK,11,1,85.13%,55
3H3MC1_TK,8,3,78.69%,55
3H3MCR1_TK,8,1,83.29%,55
3H3MCR2_TK,8,1,78.69%,55
3H3MCR3_TK,8,2,89.6%,55
3H3MCR4_TK,6,2,62.05%,55
3H3MCR5_TK,6,1,79.07%,55
3H3MCS1_TK,9,2,78.73%,55
4C5DP2CMDEK1_TK,13,4,86.11%,55
4H3M2EDPR1_TK,11,4,73.82%,55
4H3M2EDPR2_TK,4,1,57.8%,55
4H3M2EDPR3_TK,11,4,72.94%,55
A20AN1_TK,2,0,42.31%,55
ACC1_TK,8,3,63.16%,55
ACC2_TK,11,5,80.07%,55
ACC3_TK,19,6,88.41%,55
ACT1_TK,6,2,70.55%,55
ADPATC2_TK,6,1,66.93%,55
ALS_TK,58,22,88.83%,55
ARFA1F2_TK,5,2,71.01%,55
C72_TK,2,0,49.05%,55
CASP1_TK,5,0,72.68%,55
CCT1_TK,4,1,68.13%,55
CDPK13_TK,10,1,83.5%,55
CO_TK,7,3,79.31%,55
CPIP_TK,6,2,63.22%,55
CPT1_1_TK,4,1,57.98%,55
CPT2_TK,4,1,65.71%,55
CPT3_TK,4,1,54.28%,55
CYP716A263_TK,10,4,79.4%,55
CYP716D60_TK,13,4,84.99%,55
DHDDS_TK,4,1,69.65%,55
DOG_1_TK,6,2,81.91%,55
DREB_TK,5,2,76.74%,55
DnaJP2_TK,10,3,83.09%,55
EG_TK,15,3,85.86%,55
EH_TK,5,1,68.84%,55
ERF_TK,4,1,70.1%,55
ETR1_TK,14,6,73.52%,55
FDPS1_TK,12,3,86.08%,55
FDPS2_TK,11,4,81.9%,55
FTC_TK,37,11,88.76%,55
FT_TK,15,5,84.89%,55
GDPS1_TK,14,3,88.17%,55
GGDPS1_TK,6,2,81.14%,55
GGDPS2_TK,6,1,71.37%,55
HSCP70-1_TK,8,2,74.2%,55
IPDPI2_TK,8,1,78.77%,55
IPPK_TK,4,0,68.6%,55
MDPD_TK,9,2,78.77%,55
MK1_TK,12,4,83.37%,55
MLL_TK,3,1,66.92%,55
MLP28_TK,3,0,73.47%,55
OC1_TK,37,13,86.77%,55
OC2_TK,32,10,83.22%,55
OC3_TK,19,5,86.78%,55
OC4_TK,19,4,89.39%,55
OC5_TK,28,10,87.99%,55
OC6_TK,27,11,85.02%,55
PCK_TK,4,1,68.85%,55
PEC2_TK,8,3,77.19%,55
PIRL_TK,9,3,75.39%,55
PK1_TK,4,1,50.27%,55
PMEI_TK,10,4,75.97%,55
PMIP1B_TK,6,1,79.32%,55
PP2A-3_TK,15,6,81.39%,55
PPMK1_TK,10,0,84.4%,55
PPMK2_TK,12,2,84.12%,55
PPO_TK,8,2,75.5%,55
PTRP1_TK,4,1,59.62%,55
PUCP7_TK,7,0,85.4%,55
RBP45A_TK,13,3,81.65%,55
REF_TK,6,1,73.54%,55
SAS1_TK,4,1,56.39%,55
SOC1_TK,17,7,87.96%,55
SQE1_TK,14,3,81.17%,55
SQE2_TK,13,5,89.38%,55
SQE3_TK,13,4,87.83%,55
SQE4_TK,12,5,74.97%,55
SQS1_TK,16,3,88.1%,55
SQS2_TK,14,2,88.8%,55
SRPP3_TK,5,1,73.15%,55
SRPP4_TK,10,4,84.08%,55
SRPP5_TK,3,0,65.88%,55
SRPP6_TK,4,1,61.05%,55
SRRP1_TK,2,0,65.22%,55
SRRP2_TK,6,2,77.49%,55
STKWNK_TK,2,0,41.74%,55
SYP124_TK,4,0,62.41%,55
TCTP1_TK,2,0,43.38%,55
TCTP2_TK,3,1,58.99%,55
TLP_TK,3,1,60.08%,55
UCE9_TK,3,1,62.55%,55
VPE_TK,19,7,82.77%,55
cluster_4H3M2EDPR_TK,11,4,73.82%,55
cluster_CPT_TK,4,1,57.98%,55
cluster_GGDPS_TK,6,2,81.14%,55
e4H3M2EDPS1_TK,16,7,80.63%,55
1DDX5PR1_TK,12,2,84.54%,60
1DDX5PS1_TK,18,8,83.28%,60
1DDX5PS2_TK,20,9,89.66%,60
1DDX5PS3_TK,14,6,72.99%,60
1_FEH_TK,14,6,78.17%,60
1_FFT_TK,17,8,81.49%,60
1_SST_TK,15,5,84.93%,60
2cMDE24CS1_TK,6,2,75.06%,60
2cMDE4PCT1_TK,11,1,85.13%,60
3H3MC1_TK,8,3,78.69%,60
3H3MCR1_TK,8,1,83.29%,60
3H3MCR2_TK,8,1,78.69%,60
3H3MCR3_TK,8,2,89.6%,60
3H3MCR4_TK,6,2,62.05%,60
3H3MCR5_TK,6,1,79.07%,60
3H3MCS1_TK,9,2,78.73%,60
4C5DP2CMDEK1_TK,13,4,86.11%,60
4H3M2EDPR1_TK,11,4,73.82%,60
4H3M2EDPR2_TK,4,1,57.8%,60
4H3M2EDPR3_TK,11,4,72.94%,60
A20AN1_TK,2,0,42.31%,60
ACC1_TK,8,3,63.16%,60
ACC2_TK,11,5,80.07%,60
ACC3_TK,19,6,88.41%,60
ACT1_TK,6,2,70.55%,60
ADPATC2_TK,6,1,66.93%,60
ALS_TK,58,22,88.83%,60
ARFA1F2_TK,5,2,71.01%,60
C72_TK,2,0,49.05%,60
CASP1_TK,5,0,72.68%,60
CCT1_TK,4,1,68.13%,60
CDPK13_TK,10,1,83.5%,60
CO_TK,7,3,79.31%,60
CPIP_TK,6,2,63.22%,60
CPT1_1_TK,4,1,57.98%,60
CPT2_TK,4,1,65.71%,60
CPT3_TK,4,1,54.28%,60
CYP716A263_TK,10,4,79.4%,60
CYP716D60_TK,13,4,84.99%,60
DHDDS_TK,4,1,69.65%,60
DOG_1_TK,6,2,81.91%,60
DREB_TK,5,2,76.74%,60
DnaJP2_TK,10,3,83.09%,60
EG_TK,15,3,85.86%,60
EH_TK,5,1,68.84%,60
ERF_TK,4,1,70.1%,60
ETR1_TK,14,6,73.52%,60
FDPS1_TK,12,3,86.08%,60
FDPS2_TK,11,4,81.9%,60
FTC_TK,37,11,88.76%,60
FT_TK,15,5,84.89%,60
GDPS1_TK,14,3,88.17%,60
GGDPS1_TK,6,2,81.14%,60
GGDPS2_TK,6,1,71.37%,60
HSCP70-1_TK,8,2,74.2%,60
IPDPI2_TK,8,1,78.77%,60
IPPK_TK,4,0,68.6%,60
MDPD_TK,9,2,78.77%,60
MK1_TK,12,4,83.37%,60
MLL_TK,3,1,66.92%,60
MLP28_TK,3,0,73.47%,60
OC1_TK,37,13,86.77%,60
OC2_TK,32,10,83.22%,60
OC3_TK,19,5,86.78%,60
OC4_TK,19,4,89.39%,60
OC5_TK,28,10,87.99%,60
OC6_TK,27,11,85.02%,60
PCK_TK,4,1,68.85%,60
PEC2_TK,8,3,77.19%,60
PIRL_TK,9,3,75.39%,60
PK1_TK,4,1,50.27%,60
PMEI_TK,10,4,75.97%,60
PMIP1B_TK,6,1,79.32%,60
PP2A-3_TK,15,6,81.39%,60
PPMK1_TK,10,0,84.4%,60
PPMK2_TK,12,2,84.12%,60
PPO_TK,8,2,75.5%,60
PTRP1_TK,4,1,59.62%,60
PUCP7_TK,7,0,85.4%,60
RBP45A_TK,13,3,81.65%,60
REF_TK,6,1,73.54%,60
SAS1_TK,4,1,56.39%,60
SOC1_TK,17,7,87.96%,60
SQE1_TK,14,3,81.17%,60
SQE2_TK,13,5,89.38%,60
SQE3_TK,13,4,87.83%,60
SQE4_TK,12,5,74.97%,60
SQS1_TK,16,3,88.1%,60
SQS2_TK,14,2,88.8%,60
SRPP3_TK,5,1,73.15%,60
SRPP4_TK,10,4,84.08%,60
SRPP5_TK,3,0,65.88%,60
SRPP6_TK,4,1,61.05%,60
SRRP1_TK,2,0,65.22%,60
SRRP2_TK,6,2,77.49%,60
STKWNK_TK,2,0,41.74%,60
SYP124_TK,4,0,62.41%,60
TCTP1_TK,2,0,43.38%,60
TCTP2_TK,3,1,58.99%,60
TLP_TK,3,1,60.08%,60
UCE9_TK,3,1,62.55%,60
VPE_TK,19,7,82.77%,60
cluster_4H3M2EDPR_TK,11,4,73.82%,60
cluster_CPT_TK,4,1,57.98%,60
cluster_GGDPS_TK,6,2,81.14%,60
e4H3M2EDPS1_TK,16,7,80.63%,60
1DDX5PR1_TK,12,2,84.54%,65
1DDX5PS1_TK,18,8,83.28%,65
1DDX5PS2_TK,20,9,89.66%,65
1DDX5PS3_TK,14,6,72.99%,65
1_FEH_TK,14,6,78.17%,65
1_FFT_TK,17,8,81.49%,65
1_SST_TK,15,5,84.93%,65
2cMDE24CS1_TK,6,2,75.06%,65
2cMDE4PCT1_TK,11,1,85.13%,65
3H3MC1_TK,8,3,78.69%,65
3H3MCR1_TK,8,1,83.29%,65
3H3MCR2_TK,8,1,78.69%,65
3H3MCR3_TK,8,2,89.6%,65
3H3MCR4_TK,6,2,62.05%,65
3H3MCR5_TK,6,1,79.07%,65
3H3MCS1_TK,9,2,78.73%,65
4C5DP2CMDEK1_TK,13,4,86.11%,65
4H3M2EDPR1_TK,11,4,73.82%,65
4H3M2EDPR2_TK,4,1,57.8%,65
4H3M2EDPR3_TK,11,4,72.94%,65
A20AN1_TK,2,0,42.31%,65
ACC1_TK,8,3,63.16%,65
ACC2_TK,11,5,80.07%,65
ACC3_TK,19,6,88.41%,65
ACT1_TK,6,2,70.55%,65
ADPATC2_TK,6,1,66.93%,65
ALS_TK,58,22,88.83%,65
ARFA1F2_TK,5,2,71.01%,65
C72_TK,2,0,49.05%,65
CASP1_TK,5,0,72.68%,65
CCT1_TK,4,1,68.13%,65
CDPK13_TK,10,1,83.5%,65
CO_TK,7,3,79.31%,65
CPIP_TK,6,2,63.22%,65
CPT1_1_TK,4,1,57.98%,65
CPT2_TK,4,1,65.71%,65
CPT3_TK,4,1,54.28%,65
CYP716A263_TK,10,4,79.4%,65
CYP716D60_TK,13,4,84.99%,65
DHDDS_TK,4,1,69.65%,65
DOG_1_TK,6,2,81.91%,65
DREB_TK,5,2,76.74%,65
DnaJP2_TK,10,3,83.09%,65
EG_TK,15,3,85.86%,65
EH_TK,5,1,68.84%,65
ERF_TK,4,1,70.1%,65
ETR1_TK,14,6,73.52%,65
FDPS1_TK,12,3,86.08%,65
FDPS2_TK,11,4,81.9%,65
FTC_TK,37,11,88.76%,65
FT_TK,15,5,84.89%,65
GDPS1_TK,14,3,88.17%,65
GGDPS1_TK,6,2,81.14%,65
GGDPS2_TK,6,1,71.37%,65
HSCP70-1_TK,8,2,74.2%,65
IPDPI2_TK,8,1,78.77%,65
IPPK_TK,4,0,68.6%,65
MDPD_TK,9,2,78.77%,65
MK1_TK,12,4,83.37%,65
MLL_TK,3,1,66.92%,65
MLP28_TK,3,0,73.47%,65
OC1_TK,37,13,86.77%,65
OC2_TK,32,10,83.22%,65
OC3_TK,19,5,86.78%,65
OC4_TK,19,4,89.39%,65
OC5_TK,28,10,87.99%,65
OC6_TK,27,11,85.02%,65
PCK_TK,4,1,68.85%,65
PEC2_TK,8,3,77.19%,65
PIRL_TK,9,3,75.39%,65
PK1_TK,4,1,50.27%,65
PMEI_TK,10,4,75.97%,65
PMIP1B_TK,6,1,79.32%,65
PP2A-3_TK,15,6,81.39%,65
PPMK1_TK,10,0,84.4%,65
PPMK2_TK,12,2,84.12%,65
PPO_TK,8,2,75.5%,65
PTRP1_TK,4,1,59.62%,65
PUCP7_TK,7,0,85.4%,65
RBP45A_TK,13,3,81.65%,65
REF_TK,6,1,73.54%,65
SAS1_TK,4,1,56.39%,65
SOC1_TK,17,7,87.96%,65
SQE1_TK,14,3,81.17%,65
SQE2_TK,13,5,89.38%,65
SQE3_TK,13,4,87.83%,65
SQE4_TK,12,5,74.97%,65
SQS1_TK,16,3,88.1%,65
SQS2_TK,14,2,88.8%,65
SRPP3_TK,5,1,73.15%,65
SRPP4_TK,10,4,84.08%,65
SRPP5_TK,3,0,65.88%,65
SRPP6_TK,4,1,61.05%,65
SRRP1_TK,2,0,65.22%,65
SRRP2_TK,6,2,77.49%,65
STKWNK_TK,2,0,41.74%,65
SYP124_TK,4,0,62.41%,65
TCTP1_TK,2,0,43.38%,65
TCTP2_TK,3,1,58.99%,65
TLP_TK,3,1,60.08%,65
UCE9_TK,3,1,62.55%,65
VPE_TK,19,7,82.77%,65
cluster_4H3M2EDPR_TK,11,4,73.82%,65
cluster_CPT_TK,4,1,57.98%,65
cluster_GGDPS_TK,6,2,81.14%,65
e4H3M2EDPS1_TK,16,7,80.63%,65
1DDX5PR1_TK,12,2,84.54%,70
1DDX5PS1_TK,18,8,83.28%,70
1DDX5PS2_TK,20,9,89.66%,70
1DDX5PS3_TK,14,6,72.99%,70
1_FEH_TK,14,6,78.17%,70
1_FFT_TK,17,8,81.49%,70
1_SST_TK,15,5,84.93%,70
2cMDE24CS1_TK,6,2,75.06%,70
2cMDE4PCT1_TK,11,1,85.13%,70
3H3MC1_TK,8,3,78.69%,70
3H3MCR1_TK,8,1,83.29%,70
3H3MCR2_TK,8,1,78.69%,70
3H3MCR3_TK,8,2,89.6%,70
3H3MCR4_TK,6,2,62.05%,70
3H3MCR5_TK,6,1,79.07%,70
3H3MCS1_TK,9,2,78.73%,70
4C5DP2CMDEK1_TK,13,4,86.11%,70
4H3M2EDPR1_TK,11,4,73.82%,70
4H3M2EDPR2_TK,4,1,57.8%,70
4H3M2EDPR3_TK,11,4,72.94%,70
A20AN1_TK,2,0,42.31%,70
ACC1_TK,8,3,63.16%,70
ACC2_TK,11,5,80.07%,70
ACC3_TK,19,6,88.41%,70
ACT1_TK,6,2,70.55%,70
ADPATC2_TK,6,1,66.93%,70
ALS_TK,58,22,88.83%,70
ARFA1F2_TK,5,2,71.01%,70
C72_TK,2,0,49.05%,70
CASP1_TK,5,0,72.68%,70
CCT1_TK,4,1,68.13%,70
CDPK13_TK,10,1,83.5%,70
CO_TK,7,3,79.31%,70
CPIP_TK,6,2,63.22%,70
CPT1_1_TK,4,1,57.98%,70
CPT2_TK,4,1,65.71%,70
CPT3_TK,4,1,54.28%,70
CYP716A263_TK,10,4,79.4%,70
CYP716D60_TK,13,4,84.99%,70
DHDDS_TK,4,1,69.65%,70
DOG_1_TK,6,2,81.91%,70
DREB_TK,5,2,76.74%,70
DnaJP2_TK,10,3,83.09%,70
EG_TK,15,3,85.86%,70
EH_TK,5,1,68.84%,70
ERF_TK,4,1,70.1%,70
ETR1_TK,14,6,73.52%,70
FDPS1_TK,12,3,86.08%,70
FDPS2_TK,11,4,81.9%,70
FTC_TK,37,11,88.76%,70
FT_TK,15,5,84.89%,70
GDPS1_TK,14,3,88.17%,70
GGDPS1_TK,6,2,81.14%,70
GGDPS2_TK,6,1,71.37%,70
HSCP70-1_TK,8,2,74.2%,70
IPDPI2_TK,8,1,78.77%,70
IPPK_TK,4,0,68.6%,70
